State,LGA,Name,Population,Longitude,Latitude
Victoria,21270,Buloke,5956,143.0048505,-35.91243798
Victoria,21370,Campaspe,38153,144.7164188,-36.34516565
Victoria,21450,Cardinia,130383,145.5726911,-38.08300067
Victoria,21610,Casey,405415,145.3090168,-38.10433703
Victoria,21670,Central Goldfields,13704,143.7138469,-37.00714921
Victoria,21750,Colac Otway,22300,143.5951879,-38.45194766
Victoria,21830,Corangamite,15846,143.1986574,-38.20431004
Victoria,21890,Darebin,159963,145.0143391,-37.73344545
Victoria,22110,East Gippsland,49422,148.2916948,-37.3780255
Victoria,22170,Frankston,144615,145.1738047,-38.13459505
Victoria,22250,Gannawarra,10404,143.803977,-35.75152038
Victoria,22310,Glen Eira,161057,145.0426085,-37.90119267
Victoria,22410,Glenelg,20007,141.3857204,-37.87048377
Victoria,22490,Golden Plains,26337,143.8425172,-37.88205198
Victoria,22620,Greater Bendigo,125805,144.422652,-36.73442798
Victoria,22670,Greater Dandenong,167298,145.190015,-38.00557619
Victoria,22750,Greater Geelong,289565,144.4171684,-38.06894547
Victoria,22830,Greater Shepparton,69874,145.3862051,-36.3969814
Victoria,22910,Hepburn,16824,144.0575666,-37.31692383
Victoria,22980,Hindmarsh,5464,141.7525608,-36.05150462
Victoria,23110,Hobsons Bay,95633,144.8297636,-37.85470745
Victoria,23190,Horsham,20376,142.0904566,-36.82573189
Victoria,23270,Hume,271709,144.8245403,-37.58916906
Victoria,23350,Indigo,17788,146.7229556,-36.22550506
Victoria,23430,Kingston Vic.,166521,145.1050782,-37.98857038
Victoria,23670,Knox,163302,145.2586756,-37.88896911
Victoria,23810,Latrobe Vic.,78845,146.4381407,-38.27455149
Victoria,23940,Loddon,7755,143.8671486,-36.36389212
Victoria,24130,Macedon Ranges,53738,144.6166196,-37.33565454
Victoria,24210,Manningham,131761,145.1885667,-37.7615772
Victoria,24250,Mansfield,10782,146.2068415,-37.20041398
Victoria,24330,Maribyrnong,94251,144.8777782,-37.79525424
Victoria,24410,Maroondah,119354,145.2652673,-37.80485918
Victoria,24600,Melbourne,189381,144.9437721,-37.81064089
Victoria,24650,Melton,219697,144.6259878,-37.69299244
Victoria,24700,Merri-bek,186534,144.9488939,-37.72990539
Victoria,24780,Mildura,57626,141.6828832,-34.86921778
Victoria,24850,Mitchell,56384,145.0016112,-37.13751729
Victoria,24900,Moira,30836,145.5503592,-36.06189272
Victoria,24970,Monash,209268,145.1440394,-37.89712832
Victoria,25060,Moonee Valley,129732,144.8957676,-37.74948675
Victoria,25150,Moorabool,39814,144.2156565,-37.63276192
Victoria,25340,Mornington Peninsula,171450,145.0352951,-38.3416772
Victoria,25430,Mount Alexander,20799,144.1929428,-37.05077703
Victoria,25490,Moyne,17717,142.490042,-38.12244097
Victoria,25620,Murrindindi,15603,145.6301112,-37.31096792
Victoria,25710,Nillumbik,63693,145.2368103,-37.62290148
Victoria,25810,Northern Grampians,11808,142.9196494,-36.8446157
Victoria,25900,Port Phillip,112669,144.9660282,-37.85189569
Victoria,25990,Pyrenees,7958,143.3750473,-37.31644467
Victoria,26080,Queenscliffe,3302,144.6477213,-38.26426712
Victoria,26170,South Gippsland,31022,146.0759975,-38.62136402
Victoria,26260,Southern Grampians,16525,142.0331004,-37.53651999
Victoria,26350,Stonnington,114038,145.0336628,-37.85794167
Victoria,26430,Strathbogie,11739,145.4349235,-36.76031831
Victoria,26490,Surf Coast,39928,144.0531281,-38.31228857
Victoria,26610,Swan Hill,21094,143.1254814,-35.12019035
Victoria,26670,Towong,6237,147.5988585,-36.35442129
Victoria,26700,Wangaratta,30169,146.4283913,-36.58825585
Victoria,26730,Warrnambool,36150,142.5118202,-38.37143054
Victoria,26810,Wellington,46533,146.9193588,-37.89433872
Victoria,26890,West Wimmera,3913,141.2793538,-36.67556248
Victoria,26980,Whitehorse,183462,145.1550658,-37.83023536
Victoria,27070,Whittlesea,253204,145.0776986,-37.54719933
Victoria,27170,Wodonga,44824,146.8826158,-36.15049053
Victoria,27260,Wyndham,337009,144.6182584,-37.88663382
Victoria,27350,Yarra,100706,144.9985545,-37.80226766
